pm_start,pm_end,length,lanes,on_ramp,off_ramp,on_ramp_name,off_ramp_name,caltrans_pm_start,caltrans_pm_end,length_warning,vds_id,fd_vds_id,vds_pm,vds_lanes,vds_source,vds_distance_mi,vds_n_candidates,on_ramp_vds_id,off_ramp_vds_id
0,0.709924,0.709924,3,TRUE,FALSE,,,0,0.600000491,ok,400951,,0.54,3,nearest_downstream,0,2,"408909, 408908",
0.709924,1.488981,0.779057,4,TRUE,TRUE,,,0.600000491,1.400000121,ok,400057,,1.33,4,nearest_downstream,0,0,"408905, 408906",413030
1.488981,2.204902,0.715921,4,TRUE,TRUE,,,1.400000121,1.900000528,ok,400147,,2.04,4,nearest_downstream,0,0,413029,413028
2.204902,2.722654,0.517752,4,TRUE,TRUE,,,2.099999486,2.199999837,ok,400343,,2.7,4,nearest_downstream,0,,"413027, 427922",403263
2.722654,3.067531,0.344877,3,FALSE,FALSE,,,,,ok,400343,,2.7,3,direct,,,,
3.067531,3.652104,0.584573,3,TRUE,TRUE,,,2.900000592,3.399999859,ok,401560,,3.51,3,nearest_downstream,0,0,402937,418852
3.652104,3.868044,0.21594,3,TRUE,FALSE,,,3.500000567,3.799999586,ok,422357,,3.61,3,direct,0,1,418851,
3.868044,4.158391,0.290347,4,TRUE,TRUE,,,3.799999586,3.899999864,ok,400045,,4.02,4,nearest_downstream,0,0,422358,408411
4.158391,4.337984,0.179593,4,TRUE,TRUE,,,4.000000769,4.100000204,too_short,400122,400045,4.21,4,nearest_downstream,0,0,408437,408404
4.337984,4.704231,0.366247,3,TRUE,TRUE,,,4.200000241,4.300000037,ok,401541,,4.5,3,nearest_downstream,0,0,408438,418849
4.704231,5.182374,0.478143,4,TRUE,TRUE,,,4.600000215,5.099999826,ok,422359,,5.27,4,nearest_downstream,0,0,418850,422361
5.182374,5.488381,0.306007,4,FALSE,FALSE,,,,,ok,422359,,5.27,4,direct,,,,
5.488381,6.48134,0.992959,4,TRUE,TRUE,,,,,ok,423139,,6.86,4,nearest_downstream,,0,422360,v400001
6.48134,7.18709,0.70575,4,FALSE,FALSE,,,5.400000568,6.399999803,ok,423139,,6.86,4,direct,0,,,
7.18709,7.477911,0.290821,5,TRUE,TRUE,,,7.10000009,7.400000193,ok,400088,,7.65,5,nearest_downstream,0,0,423140,402939
7.477911,7.8863,0.408389,4,FALSE,FALSE,,,,,ok,400088,,7.65,4,direct,,,,
7.8863,8.251816,0.365516,5,TRUE,TRUE,,,7.800000433,8.100000671,ok,413026,,8.1,5,direct,0,1,402940,403185
8.251816,8.618472,0.366656,4,FALSE,FALSE,,,,,ok,401464,,8.36,4,direct,,,,
8.618472,8.856621,0.238149,4,TRUE,FALSE,,,8.499999725,8.699999755,ok,401489,,8.55,4,direct,0,1,403186,
8.856621,9.127599,0.270978,4,TRUE,FALSE,,,8.699999755,9.000000032,ok,401538,401489,8.890420729,4,direct,0,1,403187,
9.127599,9.358898,0.231299,6,TRUE,FALSE,,,9.000000032,9.200000093,ok,401538,401489,8.890420729,6,nearest_upstream,,0,403188,
9.358898,10.135147,0.776249,6,TRUE,TRUE,,,9.200000093,9.999999672,ok,401643,,8.890420729,6,nearest_downstream,,0,v400002,403198
