pm_start,pm_end,length,lanes,on_ramp,off_ramp,on_ramp_name,off_ramp_name,caltrans_pm_start,caltrans_pm_end,length_warning,fd_vds_id,vds_id,vds_pm,vds_lanes,vds_source,vds_distance_mi,vds_n_candidates,on_ramp_vds_id,off_ramp_vds_id,Notes
0.0,0.548464,0.548464,3,False,False,,,0.0,0.399999871,ok,429395.0,408907,0.42767264,3,direct,0.0,1,,,
0.548464,1.288671,0.740207,4,True,True,,,0.399999871,1.200000171,ok,,400951,0.65860417,4,nearest_upstream,-0.34069333,1,"408905, 408906, 408908, 408909",413030;v400000,Add another off-ramp
1.288671,1.488981,0.20031,3,False,False,,,1.200000171,1.400000121,ok,,400057,1.445897461,3,direct,0.0,1,,,Check lanes
1.488981,2.047847,0.558866,4,True,True,,,1.400000121,1.900000528,ok,,400057,1.445897461,3,nearest_upstream,-0.322516539,0,413029,413028,
2.047847,2.365016,0.317169,3,False,False,,,1.900000528,2.199999837,ok,,400147,2.156006149,3,direct,0.0,1,,,
2.365016,2.722654,0.357638,4,True,True,,,2.199999837,2.599999741,ok,400147.0,427921,2.311819167,4,nearest_upstream,-0.232015833,0,"413027, 427922",403263,
2.722654,3.067531,0.344877,3,False,False,,,2.599999741,2.900000592,ok,,400343,2.81507069,3,direct,0.0,1,,,
3.067531,3.484403,0.416872,3,True,True,,,2.900000592,3.399999859,ok,,400343,2.81507069,3,nearest_upstream,-0.46089631,0,402937,418852,
3.484403,3.838044,0.353641,3,False,False,,,3.399999859,3.799999586,ok,,401560,3.623976503,3,direct,0.0,1,,,Artificially shortened to lend 0.03 miles to downstream cell
3.838044,4.039359,0.201315,4,True,True,,,3.799999586,3.899999864,ok,,422357,3.72366026,4,nearest_upstream,-0.23004124,0,"418852, 422358","408411, 408404",Artificially lengthened by borrowing 0.03 miles from upstream cell; OR to 101N moved upward into this cell
4.039359,4.337984,0.298625,4,False,True,,,3.899999864,4.200000241,ok,,400045,4.135918476,4,direct_tiebreak,0.0,2,,418849,"FR moved up to fulfill (a), (b), (e)"
4.337984,4.704231,0.366247,3,True,False,,,4.200000241,4.600000215,ok,,401541,4.619767599,3,direct,0.0,1,"408437, 408438",,
4.704231,5.182374,0.478143,3,True,True,,,4.600000215,5.099999826,ok,,401541,4.619767599,3,nearest_upstream,-0.323534901,0,418850,422361,
5.182374,5.488381,0.306007,4,False,False,,,5.099999826,5.400000568,ok,,422359,5.374095996,4,direct,0.0,1,,,
5.488381,6.48134,0.992959,4,True,True,,,5.400000568,6.399999803,ok,,422359,5.374095996,4,nearest_upstream,-0.610764504,0,422360,v400001,FR missing VDS
6.48134,7.18709,0.70575,4,False,False,,,6.399999803,7.10000009,ok,,423139,6.982526671,4,direct,0.0,1,,,
7.18709,7.477911,0.290821,5,True,True,,,7.10000009,7.400000193,ok,,423139,6.982526671,5,nearest_upstream,-0.349973829,0,423140,402939,
