length,q_max,v_f,w,rho_jam,rho_crit,on_ramp,off_ramp,on_ramp_capacity,off_ramp_capacity,lanes
0.740207,5885.987528,61.24346285,3.111677631,1987.6881272,96.10801308,True,True,3408.0,1200.0,4
0.20031,5784.110871,58.12567964,12.82210427,550.6150722,99.51042131999999,False,False,,,3
0.558866,7712.147828,58.12567964,12.82210427,734.1534296,132.68056176,True,True,744.0,864.0,4
0.317169,6094.15179,60.43160193,11.63665583,624.5468094,100.84379028,False,False,,,3
0.357638,8125.53572,60.43160193,11.63665583,832.7290792,134.45838704,True,True,396.0,900.0,4
0.344877,5243.694906000001,59.78976439,9.644901378,631.3775439000001,87.70221726,False,False,,,3
0.416872,5243.694906000001,59.78976439,9.644901378,631.3775439000001,87.70221726,True,True,972.0,,3
0.353641,5134.314555,57.14519485,9.360079542,638.3800473,89.84682909,False,False,,,3
0.201315,7489.626004,58.93984375,11.5000333,778.3423168,127.07237628,True,True,1044.0,1920.0,4
0.298625,5295.3217,60.58960682,5.972057062,974.0795736,87.39653512,False,True,,600.0,4
0.366247,6230.559753,59.12377874,8.546403193,834.4087485,105.38162286,True,False,432.0,,3
0.478143,6230.559753,59.12377874,8.546403193,834.4087485,105.38162286,True,True,516.0,1032.0,3
0.306007,5587.49886,59.06403767,3.519441237,1682.2103396,94.60069244,False,False,,,4
0.992959,5587.49886,59.06403767,3.519441237,1682.2103396,94.60069244,True,True,732.0,,4
0.70575,6040.1613,63.53238387,10.34611829,678.881584,95.07216532,False,False,,,4
0.290821,7550.201625,63.53238387,10.34611829,848.6019799999999,118.84020665,True,True,1500.0,180.0,5
0.408389,6744.96486,62.93308279,10.11915072,773.7312168,107.17677508,False,False,,,4
0.365516,6899.374145000001,65.87028656,8.031136911,963.8199655,104.7418268,True,True,696.0,1392.0,5
0.366656,5717.716876,64.26780842,4.199768159,1450.4033556,88.967043,False,False,,,4
0.238149,6073.993312,65.02700226,10.73818107,659.0517708,93.40724776,True,False,336.0,,4
0.270978,9110.989968,65.02700226,10.73818107,988.5776562,140.11087164,True,False,396.0,,6
0.231299,9110.989968,65.02700226,10.73818107,988.5776562,140.11087164,True,False,2352.0,,6
